ID,title,description,category,provider_name,provider_phone,provider_email,address,price,district,pincode,city,state,room_type,occupancy,gender_preference,food_included,is_furnished,amenities,avaibility,rating,review_count,is_active,created_by,created_at,updated_at
1,SeaView Boys Hostel,Affordable hostel near Marine Drive with sea view,hostel,Mr. Deshmukh,9823456781,seaview@example.com,21 Marine Drive,8500,Mumbai,400001,Mumbai,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
2,Andheri Girls Hostel,Safe and secure girls hostel near Andheri station,hostel,Ms. Patil,9876543201,andheri_girls@example.com,55 Andheri East,7500,Mumbai,400069,Mumbai,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
3,Bandra Student Hostel,Student-friendly hostel with WiFi and study area,hostel,Mr. Khan,9812345678,bandra_hostel@example.com,"12 Linking Road, Bandra",9500,Mumbai,400050,Mumbai,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
4,Dadar PG Hostel,Well-connected hostel near Dadar station,hostel,Mrs. Iyer,9832123456,dadar_pg@example.com,"5 Shivaji Park, Dadar",7000,Mumbai,400028,Mumbai,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
5,Connaught Place Hostel,Hostel with AC rooms near CP,hostel,Mr. Arora,9898989898,cp_hostel@example.com,"B-12, Connaught Place",9000,New Delhi,110001,New Delhi,Delhi,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
6,Karol Bagh Boys Hostel,Affordable boys hostel with meals included,hostel,Mr. Gupta,9811122233,karolbagh_hostel@example.com,22 Ajmal Khan Road,6500,New Delhi,110005,New Delhi,Delhi,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
7,South Delhi Girls Hostel,Safe hostel for girls with CCTV and WiFi,hostel,Mrs. Mehra,9877001122,southdelhi_girls@example.com,"GK-II, South Delhi",11000,New Delhi,110048,New Delhi,Delhi,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
8,Dwarka Hostel,Budget hostel near Dwarka metro,hostel,Mr. Sharma,9819908877,dwarka_hostel@example.com,"Plot 12, Sector 10, Dwarka",6000,New Delhi,110075,New Delhi,Delhi,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
9,Koramangala Hostel,Student hostel near Forum Mall,hostel,Mr. Reddy,9900887766,koramangala_hostel@example.com,45 Koramangala 7th Block,8000,Bengaluru,560095,Bengaluru,Karnataka,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
10,Indiranagar Boys Hostel,Affordable boys hostel in Indiranagar,hostel,Mr. Rao,9988776655,indiranagar_hostel@example.com,"12 CMH Road, Indiranagar",7000,Bengaluru,560038,Bengaluru,Karnataka,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
11,Whitefield Hostel,Comfortable hostel near IT hub Whitefield,hostel,Mr. Shetty,9123456789,whitefield_hostel@example.com,8 Whitefield Main Road,8500,Bengaluru,560066,Bengaluru,Karnataka,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
12,Navrangpura Boys Hostel,Hostel near Gujarat University,hostel,Mr. Patel,9898765432,navrangpura_hostel@example.com,"University Road, Navrangpura",6500,Ahmedabad,380009,Ahmedabad,Gujarat,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
13,Ellis Bridge Hostel,Affordable hostel near Ellis Bridge,hostel,Mr. Shah,9876501234,ellis_hostel@example.com,5 Ellis Bridge,6200,Ahmedabad,380006,Ahmedabad,Gujarat,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
14,SG Highway Girls Hostel,Girls hostel with WiFi and meals,hostel,Ms. Joshi,9865432100,sghighway_girls@example.com,"Plot 12, SG Highway",7000,Ahmedabad,380051,Ahmedabad,Gujarat,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
15,Shivaji Nagar Hostel,Student hostel near Fergusson College,hostel,Mr. Kulkarni,9765432109,shivajinagar_hostel@example.com,"12 FC Road, Shivaji Nagar",7500,Pune,411005,Pune,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
16,Hinjewadi IT Hostel,Hostel for IT professionals near Hinjewadi,hostel,Mr. Jadhav,9856231470,hinjewadi_hostel@example.com,"Phase 1, Hinjewadi",9500,Pune,411057,Pune,Maharashtra,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
17,Salt Lake Hostel,Affordable hostel near Sector V,hostel,Mr. Chatterjee,9900112233,saltlake_hostel@example.com,"Salt Lake City, Sector V",6800,Kolkata,700091,Kolkata,West Bengal,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
18,Park Street Girls Hostel,Girls hostel near Park Street with meals,hostel,Mrs. Banerjee,9831002233,parkstreet_girls@example.com,21 Park Street,7200,Kolkata,700016,Kolkata,West Bengal,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
19,MI Road Boys Hostel,Hostel near MI Road with AC rooms,hostel,Mr. Rathore,9829901122,miroad_hostel@example.com,"MI Road, Jaipur",6700,Jaipur,302001,Jaipur,Rajasthan,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
20,Mansarovar Girls Hostel,Safe girls hostel in Mansarovar,hostel,Ms. Singh,9812213344,mansarovar_girls@example.com,Mansarovar Colony,6400,Jaipur,302020,Jaipur,Rajasthan,double,2,any,TRUE,TRUE,"wifi,meals,cctv,study_table",TRUE,4.2,10,TRUE,4,8/18/2025 6:31,8/18/2025 6:31
21,Ahmedabad PG Accommodation 1,Affordable PG in Ahmedabad with basic amenities and good connectivity.,pg,Mr. Iyer,9882275077,pg_1_ahmedabad@example.com,84 Ahmedabad Main Road,11043,Ahmedabad,380001,Ahmedabad,Gujarat,Triple,2,Female,FALSE,TRUE,"parking,wifi,cctv,study_table",TRUE,3.6,12,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
22,Delhi PG Accommodation 2,Affordable PG in Delhi with basic amenities and good connectivity.,pg,Mrs. Nair,9811189001,pg_2_delhi@example.com,5 Delhi Main Road,11799,Delhi,110001,Delhi,Delhi,Double,3,Female,TRUE,FALSE,"wifi,study_table,parking,meals",TRUE,4.7,12,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
23,Delhi PG Accommodation 3,Affordable PG in Delhi with basic amenities and good connectivity.,pg,Mr. Singh,9821047549,pg_3_delhi@example.com,154 Delhi Main Road,7522,Delhi,110001,Delhi,Delhi,Triple,3,Male,TRUE,TRUE,"meals,parking,wifi,laundry",TRUE,4.4,35,TRUE,4,8/19/2025 5:51,8/19/2025 5:51
